group,interval,axis,cohort,seed,n_origins,n_direction,n_flights,n_direction_flights
common_high,middle,vy,ALL,17,440,326,17,17
common_high,middle,vy,ALL,23,440,326,17,17
common_high,middle,vy,ALL,42,440,326,17,17
common_high,middle,vy,Sep17,17,249,190,8,8
common_high,middle,vy,Sep17,23,249,190,8,8
common_high,middle,vy,Sep17,42,249,190,8,8
common_high,middle,vy,Sep7,17,191,136,9,9
common_high,middle,vy,Sep7,23,191,136,9,9
common_high,middle,vy,Sep7,42,191,136,9,9
common_high,middle,vz,ALL,17,440,349,17,17
common_high,middle,vz,ALL,23,440,349,17,17
common_high,middle,vz,ALL,42,440,349,17,17
common_high,middle,vz,Sep17,17,249,199,8,8
common_high,middle,vz,Sep17,23,249,199,8,8
common_high,middle,vz,Sep17,42,249,199,8,8
common_high,middle,vz,Sep7,17,191,150,9,9
common_high,middle,vz,Sep7,23,191,150,9,9
common_high,middle,vz,Sep7,42,191,150,9,9
differential_high,early,p,ALL,17,501,400,17,17
differential_high,early,p,ALL,23,501,400,17,17
differential_high,early,p,ALL,42,501,400,17,17
differential_high,early,p,Sep17,17,257,204,8,8
differential_high,early,p,Sep17,23,257,204,8,8
differential_high,early,p,Sep17,42,257,204,8,8
differential_high,early,p,Sep7,17,244,196,9,9
differential_high,early,p,Sep7,23,244,196,9,9
differential_high,early,p,Sep7,42,244,196,9,9
differential_high,early,q,ALL,17,501,411,17,17
differential_high,early,q,ALL,23,501,411,17,17
differential_high,early,q,ALL,42,501,411,17,17
differential_high,early,q,Sep17,17,257,211,8,8
differential_high,early,q,Sep17,23,257,211,8,8
differential_high,early,q,Sep17,42,257,211,8,8
differential_high,early,q,Sep7,17,244,200,9,9
differential_high,early,q,Sep7,23,244,200,9,9
differential_high,early,q,Sep7,42,244,200,9,9
differential_high,early,r,ALL,17,501,299,17,17
differential_high,early,r,ALL,23,501,299,17,17
differential_high,early,r,ALL,42,501,299,17,17
differential_high,early,r,Sep17,17,257,151,8,8
differential_high,early,r,Sep17,23,257,151,8,8
differential_high,early,r,Sep17,42,257,151,8,8
differential_high,early,r,Sep7,17,244,148,9,9
differential_high,early,r,Sep7,23,244,148,9,9
differential_high,early,r,Sep7,42,244,148,9,9
differential_high,early,vx,ALL,17,501,204,17,17
differential_high,early,vx,ALL,23,501,204,17,17
differential_high,early,vx,ALL,42,501,204,17,17
differential_high,early,vx,Sep17,17,257,108,8,8
differential_high,early,vx,Sep17,23,257,108,8,8
differential_high,early,vx,Sep17,42,257,108,8,8
differential_high,early,vx,Sep7,17,244,96,9,9
differential_high,early,vx,Sep7,23,244,96,9,9
differential_high,early,vx,Sep7,42,244,96,9,9
differential_high,early,vy,ALL,17,501,166,17,17
differential_high,early,vy,ALL,23,501,166,17,17
differential_high,early,vy,ALL,42,501,166,17,17
differential_high,early,vy,Sep17,17,257,85,8,8
differential_high,early,vy,Sep17,23,257,85,8,8
differential_high,early,vy,Sep17,42,257,85,8,8
differential_high,early,vy,Sep7,17,244,81,9,9
differential_high,early,vy,Sep7,23,244,81,9,9
differential_high,early,vy,Sep7,42,244,81,9,9
differential_high,early,vz,ALL,17,501,383,17,17
differential_high,early,vz,ALL,23,501,383,17,17
differential_high,early,vz,ALL,42,501,383,17,17
differential_high,early,vz,Sep17,17,257,195,8,8
differential_high,early,vz,Sep17,23,257,195,8,8
differential_high,early,vz,Sep17,42,257,195,8,8
differential_high,early,vz,Sep7,17,244,188,9,9
differential_high,early,vz,Sep7,23,244,188,9,9
differential_high,early,vz,Sep7,42,244,188,9,9
differential_high,extended,p,ALL,17,501,382,17,17
differential_high,extended,p,ALL,23,501,382,17,17
differential_high,extended,p,ALL,42,501,382,17,17
differential_high,extended,p,Sep17,17,257,197,8,8
differential_high,extended,p,Sep17,23,257,197,8,8
differential_high,extended,p,Sep17,42,257,197,8,8
differential_high,extended,p,Sep7,17,244,185,9,9
differential_high,extended,p,Sep7,23,244,185,9,9
differential_high,extended,p,Sep7,42,244,185,9,9
differential_high,extended,q,ALL,17,501,399,17,17
differential_high,extended,q,ALL,23,501,399,17,17
differential_high,extended,q,ALL,42,501,399,17,17
differential_high,extended,q,Sep17,17,257,209,8,8
differential_high,extended,q,Sep17,23,257,209,8,8
differential_high,extended,q,Sep17,42,257,209,8,8
differential_high,extended,q,Sep7,17,244,190,9,9
differential_high,extended,q,Sep7,23,244,190,9,9
differential_high,extended,q,Sep7,42,244,190,9,9
differential_high,extended,r,ALL,17,501,408,17,17
differential_high,extended,r,ALL,23,501,408,17,17
differential_high,extended,r,ALL,42,501,408,17,17
differential_high,extended,r,Sep17,17,257,207,8,8
differential_high,extended,r,Sep17,23,257,207,8,8
differential_high,extended,r,Sep17,42,257,207,8,8
differential_high,extended,r,Sep7,17,244,201,9,9
differential_high,extended,r,Sep7,23,244,201,9,9
differential_high,extended,r,Sep7,42,244,201,9,9
differential_high,extended,vx,ALL,17,501,448,17,17
differential_high,extended,vx,ALL,23,501,448,17,17
differential_high,extended,vx,ALL,42,501,448,17,17
differential_high,extended,vx,Sep17,17,257,229,8,8
differential_high,extended,vx,Sep17,23,257,229,8,8
differential_high,extended,vx,Sep17,42,257,229,8,8
differential_high,extended,vx,Sep7,17,244,219,9,9
differential_high,extended,vx,Sep7,23,244,219,9,9
differential_high,extended,vx,Sep7,42,244,219,9,9
differential_high,extended,vy,ALL,17,501,465,17,17
differential_high,extended,vy,ALL,23,501,465,17,17
differential_high,extended,vy,ALL,42,501,465,17,17
differential_high,extended,vy,Sep17,17,257,238,8,8
differential_high,extended,vy,Sep17,23,257,238,8,8
differential_high,extended,vy,Sep17,42,257,238,8,8
differential_high,extended,vy,Sep7,17,244,227,9,9
differential_high,extended,vy,Sep7,23,244,227,9,9
differential_high,extended,vy,Sep7,42,244,227,9,9
differential_high,extended,vz,ALL,17,501,386,17,17
differential_high,extended,vz,ALL,23,501,386,17,17
differential_high,extended,vz,ALL,42,501,386,17,17
differential_high,extended,vz,Sep17,17,257,204,8,8
differential_high,extended,vz,Sep17,23,257,204,8,8
differential_high,extended,vz,Sep17,42,257,204,8,8
differential_high,extended,vz,Sep7,17,244,182,9,9
differential_high,extended,vz,Sep7,23,244,182,9,9
differential_high,extended,vz,Sep7,42,244,182,9,9
differential_high,late,p,ALL,17,501,405,17,17
differential_high,late,p,ALL,23,501,405,17,17
differential_high,late,p,ALL,42,501,405,17,17
differential_high,late,p,Sep17,17,257,201,8,8
differential_high,late,p,Sep17,23,257,201,8,8
differential_high,late,p,Sep17,42,257,201,8,8
differential_high,late,p,Sep7,17,244,204,9,9
differential_high,late,p,Sep7,23,244,204,9,9
differential_high,late,p,Sep7,42,244,204,9,9
differential_high,late,q,ALL,17,501,384,17,17
differential_high,late,q,ALL,23,501,384,17,17
differential_high,late,q,ALL,42,501,384,17,17
differential_high,late,q,Sep17,17,257,202,8,8
differential_high,late,q,Sep17,23,257,202,8,8
differential_high,late,q,Sep17,42,257,202,8,8
differential_high,late,q,Sep7,17,244,182,9,9
differential_high,late,q,Sep7,23,244,182,9,9
differential_high,late,q,Sep7,42,244,182,9,9
differential_high,late,r,ALL,17,501,409,17,17
differential_high,late,r,ALL,23,501,409,17,17
differential_high,late,r,ALL,42,501,409,17,17
differential_high,late,r,Sep17,17,257,214,8,8
differential_high,late,r,Sep17,23,257,214,8,8
