split,log_id,segment_id,target,steps,count,rmse,r2,truth_increment_rms,signal
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,5,405,0.0399978868310492,0.9973531472976964,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,5,405,0.3794114745669716,0.8621451793052901,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,10,400,0.0443381543908938,0.9972847470337848,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,10,400,0.4329535301070304,0.8466611585289295,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,25,385,0.040583134469846,0.9991055526529918,1.5168847564779244,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp8,25,385,0.4242851298245553,0.8454456784397975,1.07967518282014,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,2,408,0.0273959103693807,0.9946508008256146,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,2,408,0.3690559569407111,0.7865898190359628,0.798901209604076,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,5,405,0.0317088514941422,0.9983365233738402,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,5,405,0.3202445459666506,0.9017880080468896,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,10,400,0.0292465664221468,0.9988185785607812,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,10,400,0.3228240055291104,0.914748652689948,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,25,385,0.0278719329787328,0.9995781114059764,1.5168847564779244,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D1_lp12,25,385,0.3083718773769586,0.9183577320504742,1.07967518282014,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,2,408,0.0862978867554469,0.9469216251211118,0.378534187076406,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,2,408,0.4289212967761395,0.7117389824130993,0.798901209604076,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,5,405,0.1625531728477915,0.9562833796043004,0.7896197419779944,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,5,405,0.3969730438220506,0.8490882448859377,1.02194530707917,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,10,400,0.1470268583826594,0.97014284455969,0.8949765870906696,velocity
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,10,400,0.425150546133811,0.8521385059371618,1.1059443275043517,omega
train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,4,D2_center2,25,385,0.1293126620436731,0.9909187483491444,1.5168847564779244,velocity
