kind,condition,seed,group,group_rule,step,horizon_s,flight_id,cohort,n_origins,metric,value
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,60,body_rate_rmse_rad_s,0.6001284082036197
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,43,position_rmse_m,0.02108181193221715
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,43,velocity_rmse_m_s,0.10875160326104698
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,43,attitude_error_deg,1.2016900183076626
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,43,body_rate_rmse_rad_s,0.46605298719532706
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,46,position_rmse_m,0.02134989790625994
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,46,velocity_rmse_m_s,0.11776430978861438
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,46,attitude_error_deg,1.1620037232704798
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,46,body_rate_rmse_rad_s,0.5408620082713689
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,39,position_rmse_m,0.013380682044039643
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,39,velocity_rmse_m_s,0.08235670471947179
endpoint,Actual,17,low,horizon_specific_train_quantiles,5,0.1,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,39,attitude_error_deg,1.2473939117846624
