model,offset,origin,steps,common_steps,feedback_rmse,hold_rmse
ensemble,0.2,30,5,0,,
ensemble,0.2,30,10,0,,
ensemble,0.2,30,25,0,,
ensemble,0.2,30,50,0,,
ensemble,0.2,31,5,5,0.38727259562456523,0.38219587751313966
ensemble,0.2,31,10,10,0.6373864957087083,0.6291531072394801
ensemble,0.2,31,25,25,0.7546813895774298,0.7531002069149114
ensemble,0.2,31,50,50,0.7538645910097792,0.755634304917123
ensemble,0.2,32,5,0,,
ensemble,0.2,32,10,0,,
ensemble,0.2,32,25,0,,
ensemble,0.2,32,50,0,,
ensemble,0.2,33,5,0,,
ensemble,0.2,33,10,0,,
ensemble,0.2,33,25,0,,
ensemble,0.2,33,50,0,,
ensemble,0.2,34,5,5,0.4498809394467634,0.4705830018057637
ensemble,0.2,34,10,10,0.47567059115795374,0.4770796629993733
ensemble,0.2,34,25,25,0.4475354719564536,0.44741202400655233
ensemble,0.2,34,50,50,0.44657480909943403,0.4470363560040367
ensemble,0.2,35,5,0,,
ensemble,0.2,35,10,0,,
ensemble,0.2,35,25,0,,
ensemble,0.2,35,50,0,,
ensemble,0.2,36,5,0,,
ensemble,0.2,36,10,0,,
ensemble,0.2,36,25,0,,
ensemble,0.2,36,50,0,,
ensemble,0.2,37,5,5,0.45838774349733247,0.443719909493654
ensemble,0.2,37,10,10,0.48666158439965124,0.4747150782793494
ensemble,0.2,37,25,25,0.4958524205644537,0.4918927258944165
ensemble,0.2,37,50,50,0.5151720005983537,0.5156046345051987
ensemble,0.2,38,5,0,,
ensemble,0.2,38,10,0,,
ensemble,0.2,38,25,0,,
ensemble,0.2,38,50,0,,
ensemble,0.2,39,5,0,,
ensemble,0.2,39,10,0,,
ensemble,0.2,39,25,0,,
ensemble,0.2,39,50,0,,
