mode,pattern,step,cohort,seed,metric,continuous,local100ms,local_minus_continuous
Mission,ALL,10,Sep7,42,body_rate_rad_s,0.5774377210715881,0.5674944538921947,-0.009943267179393422
Mission,ALL,10,Sep7,42,p_rad_s,0.5337888200492114,0.5215106429047895,-0.012278177144421809
Mission,ALL,10,Sep7,42,position_m,0.05705025017088122,0.02711132536479894,-0.029938924806082283
Mission,ALL,10,Sep7,42,q_rad_s,0.1750809046870018,0.17613249993198601,0.0010515952449842159
Mission,ALL,10,Sep7,42,r_rad_s,0.13066540415807384,0.13612144644476315,0.0054560422866893055
Mission,ALL,10,Sep7,42,roll_deg,1.185996261537735,0.9723539660310363,-0.21364229550669878
Mission,ALL,10,Sep7,42,velocity_m_s,0.15611827508618187,0.11078427995668022,-0.04533399512950165
Mission,ALL,15,ALL,17,attitude_deg,2.591773470190184,1.2898832452653308,-1.3018902249248532
Mission,ALL,15,ALL,17,body_rate_rad_s,0.5399892564260885,0.5220423371173074,-0.017946919308781117
Mission,ALL,15,ALL,17,p_rad_s,0.4859664685473302,0.4675309952711169,-0.01843547327621331
Mission,ALL,15,ALL,17,position_m,0.06469251313939343,0.02073557692816109,-0.043956936211232346
Mission,ALL,15,ALL,17,q_rad_s,0.18867254382786758,0.18746520697819122,-0.0012073368496763603
Mission,ALL,15,ALL,17,r_rad_s,0.13782129368608628,0.13407944260036928,-0.0037418510857170073
Mission,ALL,15,ALL,17,roll_deg,1.8391535798734058,0.9525956742774556,-0.8865579055959502
Mission,ALL,15,ALL,17,velocity_m_s,0.19956708984927016,0.11802534858621822,-0.08154174126305194
Mission,ALL,15,ALL,23,attitude_deg,2.6289039026975862,1.3233847318423406,-1.3055191708552456
Mission,ALL,15,ALL,23,body_rate_rad_s,0.5330876819092812,0.5175735113263249,-0.015514170582956344
Mission,ALL,15,ALL,23,p_rad_s,0.4747748134978136,0.4571686123239942,-0.01760620117381939
Mission,ALL,15,ALL,23,position_m,0.06503661364527709,0.020735858603954698,-0.04430075504132239
Mission,ALL,15,ALL,23,q_rad_s,0.2005785133722643,0.19753254217749242,-0.0030459711947718737
Mission,ALL,15,ALL,23,r_rad_s,0.13391545654077106,0.13877173512730537,0.004856278586534313
Mission,ALL,15,ALL,23,roll_deg,1.7749914394553548,0.974887958303079,-0.8001034811522758
Mission,ALL,15,ALL,23,velocity_m_s,0.20402693471350375,0.12188906782505753,-0.08213786688844622
Mission,ALL,15,ALL,42,attitude_deg,2.6363210356588724,1.3104226350862394,-1.325898400572633
Mission,ALL,15,ALL,42,body_rate_rad_s,0.5356656001432255,0.5225399804470858,-0.013125619696139679
Mission,ALL,15,ALL,42,p_rad_s,0.4829862987056828,0.46912672521602145,-0.013859573489661381
Mission,ALL,15,ALL,42,position_m,0.06341981105854255,0.020601868919626672,-0.042817942138915877
Mission,ALL,15,ALL,42,q_rad_s,0.18609837037566246,0.18551524817444853,-0.0005831222012139259
Mission,ALL,15,ALL,42,r_rad_s,0.13537053475243713,0.1334950527957715,-0.00187548195666562
Mission,ALL,15,ALL,42,roll_deg,1.8969361549801131,0.9821507993963773,-0.9147853555837359
Mission,ALL,15,ALL,42,velocity_m_s,0.2027198826777871,0.12354179281111587,-0.07917808986667123
Mission,ALL,15,Sep17,17,attitude_deg,2.818162359210293,1.3208334248510731,-1.49732893435922
Mission,ALL,15,Sep17,17,body_rate_rad_s,0.5471403366436971,0.5128388491861553,-0.0343014874575418
Mission,ALL,15,Sep17,17,p_rad_s,0.4923539831118703,0.4591189272713672,-0.03323505584050307
Mission,ALL,15,Sep17,17,position_m,0.05369528545106829,0.0166203461923546,-0.03707493925871369
Mission,ALL,15,Sep17,17,q_rad_s,0.1877734829058846,0.18721722477352346,-0.0005562581323611537
Mission,ALL,15,Sep17,17,r_rad_s,0.14512994568907042,0.12767752470557983,-0.01745242098349059
Mission,ALL,15,Sep17,17,roll_deg,2.066049448591114,0.9772181759967115,-1.0888312725944025
Mission,ALL,15,Sep17,17,velocity_m_s,0.21142251898191713,0.12466324350855157,-0.08675927547336557
Mission,ALL,15,Sep17,23,attitude_deg,2.821895045198924,1.3421951448821619,-1.4796999003167624
Mission,ALL,15,Sep17,23,body_rate_rad_s,0.5402448642011852,0.5083184804912241,-0.03192638370996115
Mission,ALL,15,Sep17,23,p_rad_s,0.47812677445851265,0.44797113355760526,-0.030155640900907388
