seed,tau_s,interval,group,flight_id,cohort,n_origins,axis,component,error_mse,rmse,true_amplitude,pred_amplitude,cross_term
42,0.1,0_500ms,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144,r,fast,0.0072312854114665375,0.08503696497092625,0.10494994382911135,0.06974048394347541,0.00447933214307214
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,p,raw,0.24269790205046168,0.49264378819839155,0.7399037759007654,0.6199811860904062,0.04623897567954142
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,p,slow,0.03301907967581482,0.18171152873666221,0.4879161463333556,0.46266044972988346,0.04623897567954142
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,p,fast,0.16343984669510542,0.40427694306639034,0.4517619153509051,0.30863292549616866,0.04623897567954142
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,q,raw,0.057087089968462006,0.23892904797965023,0.8282165600869491,0.7598393719283341,0.010709736745768639
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,q,slow,0.016028405892367058,0.1266033407630583,0.5584153714207243,0.5286736218503636,0.010709736745768639
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,q,fast,0.030348947330326306,0.17420949265274355,0.49522060673439106,0.4357747948821438,0.010709736745768639
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,r,raw,0.02154121075868661,0.14676924323129356,0.25993716285647617,0.2193121136329293,0.004336029423772694
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,r,slow,0.010388467372030611,0.10192383122719932,0.19852668283459338,0.17159856059987943,0.004336029423772694
42,0.1,0_500ms,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153,r,fast,0.0068167139628833055,0.08256339360081624,0.1052376390175926,0.07565393898661917,0.004336029423772694
42,0.1,0_500ms,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138,p,raw,0.17746366518167112,0.42126436495586844,0.7288103239917328,0.6468273322118095,0.032986704048185225
