tau_s,interval,group,cohort,axis,component,seed,rmse,true_amplitude,pred_amplitude,error_mse,cross_term
0.05,0_500ms,high,ALL,r,raw,23,0.1620300954201202,0.27127233131945455,0.22339761566058752,0.02669857941697868,0.004437599902543016
0.05,0_500ms,high,ALL,r,raw,42,0.16187336198358104,0.27127233131945455,0.22705408541838942,0.026720987890120403,0.004494563281844852
0.05,0_500ms,high,ALL,r,slow,17,0.12968889464915787,0.23632424024714482,0.20365162735254147,0.017264285743956297,0.004553165270107128
0.05,0_500ms,high,ALL,r,slow,23,0.13000291025271915,0.23632424024714482,0.200121486766044,0.017315579313114428,0.004437599902543016
0.05,0_500ms,high,ALL,r,slow,42,0.12888290338884473,0.23632424024714482,0.20349329212281392,0.017177224485064327,0.004494563281844852
0.05,0_500ms,high,Sep17,p,fast,17,0.3504675531594574,0.3781155352495832,0.2315489203020834,0.12362531618731323,0.06956406445520677
0.05,0_500ms,high,Sep17,p,fast,23,0.34695980326973286,0.3781155352495832,0.23159160100343373,0.12112148459642343,0.0681613761615894
0.05,0_500ms,high,Sep17,p,fast,42,0.3495227387792593,0.3781155352495832,0.23465983799036064,0.12307119758230414,0.06991653247441322
0.05,0_500ms,high,Sep17,p,raw,17,0.5139956173042758,0.7999743747884394,0.6659366565407276,0.2657095250514127,0.06956406445520677
0.05,0_500ms,high,Sep17,p,raw,23,0.5107257829333536,0.7999743747884394,0.6671214896311592,0.2622781144783458,0.0681613761615894
0.05,0_500ms,high,Sep17,p,raw,42,0.5172368693054664,0.7999743747884394,0.6684871160907019,0.2691165978420048,0.06991653247441322
0.05,0_500ms,high,Sep17,p,slow,17,0.26858117055918185,0.6202959562436632,0.5723248727389152,0.07252014440889273,0.06956406445520677
0.05,0_500ms,high,Sep17,p,slow,23,0.2694641775479651,0.6202959562436632,0.5742015615146558,0.07299525372033296,0.0681613761615894
0.05,0_500ms,high,Sep17,p,slow,42,0.27540299080016334,0.6202959562436632,0.5734809916596283,0.07612886778528742,0.06991653247441322
0.05,0_500ms,high,Sep17,q,fast,17,0.16584422125599022,0.36766428527073575,0.3125376709418794,0.027692351844982598,0.017443925369505984
0.05,0_500ms,high,Sep17,q,fast,23,0.17670575340334707,0.36766428527073575,0.3060312132239025,0.031458945315100593,0.019559856018070247
0.05,0_500ms,high,Sep17,q,fast,42,0.16446160167331325,0.36766428527073575,0.3167557394432189,0.027226644548615793,0.01728308548425948
0.05,0_500ms,high,Sep17,q,raw,17,0.2897241300602526,0.8356886339580636,0.7571644496126744,0.08467403107499961,0.017443925369505984
0.05,0_500ms,high,Sep17,q,raw,23,0.31061037223102184,0.8356886339580636,0.7457904739991785,0.09737692900430489,0.019559856018070247
0.05,0_500ms,high,Sep17,q,raw,42,0.29336060251584567,0.8356886339580636,0.7605418767394895,0.08679158280477549,0.01728308548425948
0.05,0_500ms,high,Sep17,q,slow,17,0.1971879939140112,0.6750615623544088,0.6255671697201096,0.039537753860511025,0.017443925369505984
0.05,0_500ms,high,Sep17,q,slow,23,0.21349832910725838,0.6750615623544088,0.6169640017891668,0.046358127671134064,0.019559856018070247
0.05,0_500ms,high,Sep17,q,slow,42,0.20388331232244536,0.6750615623544088,0.6268919141865377,0.04228185277190022,0.01728308548425948
0.05,0_500ms,high,Sep17,r,fast,17,0.07090870043328099,0.0823328628505085,0.049331623819616456,0.005085832938282051,0.004692016162983906
0.05,0_500ms,high,Sep17,r,fast,23,0.07030668856215204,0.0823328628505085,0.04945958014954983,0.005001788110224931,0.004700916226040191
0.05,0_500ms,high,Sep17,r,fast,42,0.07136425219717958,0.0823328628505085,0.049247360467837245,0.005149598169497296,0.004899267546124669
0.05,0_500ms,high,Sep17,r,raw,17,0.17100618305611276,0.31073797585418383,0.2525121986680538,0.029367315894043233,0.004692016162983906
0.05,0_500ms,high,Sep17,r,raw,23,0.17068717989242332,0.31073797585418383,0.24799507855934905,0.02930034744358587,0.004700916226040191
0.05,0_500ms,high,Sep17,r,raw,42,0.1776806624949397,0.31073797585418383,0.2530811926670754,0.03168109633043808,0.004899267546124669
0.05,0_500ms,high,Sep17,r,slow,17,0.1396753682895761,0.2727497508498752,0.2258561465641401,0.01958946679277728,0.004692016162983906
0.05,0_500ms,high,Sep17,r,slow,23,0.13961530772912328,0.2727497508498752,0.22224689621767768,0.019597643107320747,0.004700916226040191
0.05,0_500ms,high,Sep17,r,slow,42,0.1467410131919656,0.2727497508498752,0.22687525761788657,0.021632230614816117,0.004899267546124669
0.05,0_500ms,high,Sep7,p,fast,17,0.38828397631763184,0.43690329476540807,0.2533550367199814,0.15121467344672995,0.08522908450109948
